Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"43360","2","2019-01-01 00:27:48","12","","","",""
"43361","2","2019-01-01 02:50:07","0","","","",""
"43363","1","2019-01-01 03:53:02","0","29","<machine-learning><nlp>","1",""
"43364","2","2019-01-01 05:49:35","1","","","",""
"43366","1","2019-01-01 06:02:07","2","49","<deep-learning><convnet><image-classification>","1","1"
"43367","1","2019-01-01 06:16:26","0","21","<scikit-learn><tensorflow><scipy>","1",""
"43369","2","2019-01-01 10:03:42","1","","","",""
"43370","1","2019-01-01 10:06:03","2","35","<classification>","0",""
"43371","2","2019-01-01 10:23:10","0","","","",""
"43372","2","2019-01-01 10:28:24","0","","","",""
"43373","2","2019-01-01 10:44:44","3","","","",""
"43374","1","2019-01-01 13:18:02","4","31","<deep-learning><time-series><cnn><convolution>","1",""
"43375","1","2019-01-01 13:24:28","2","112","<machine-learning><dataset><dimensionality-reduction>","1",""
"43376","1","2019-01-01 14:19:59","4","838","<machine-learning><python><xgboost>","1","1"
"43379","2","2019-01-01 18:52:45","0","","","",""
"43380","1","2019-01-01 19:15:29","1","86","<python><neural-network><keras><tensorflow>","1",""
"43381","1","2019-01-01 19:16:04","1","193","<machine-learning><homework>","0",""
"43384","2","2019-01-01 22:46:34","0","","","",""
"43385","1","2019-01-01 23:12:57","0","40","<optimization><theory>","1",""
"43386","1","2019-01-02 00:11:53","0","307","<machine-learning><sql><fuzzy-logic><evolutionary-algorithms>","1",""
"43387","2","2019-01-02 00:46:31","1","","","",""
"43388","2","2019-01-02 01:28:24","2","","","",""
"43392","1","2019-01-02 06:12:45","-1","114","<clustering><reference-request><terminology>","1",""
"43393","1","2019-01-02 09:20:02","1","20","<gaussian>","0",""
"43395","1","2019-01-02 12:20:38","1","45","<classification><unbalanced-classes><audio-recognition>","1",""
"43396","1","2019-01-02 12:54:11","1","30","<deep-learning><lstm><text-generation>","0",""
"43397","1","2019-01-02 13:09:28","0","364","<neural-network><categorical-data>","2","2"
"43398","2","2019-01-02 13:11:01","0","","","",""
"43399","2","2019-01-02 13:43:11","1","","","",""
"43400","1","2019-01-02 17:13:28","1","97","<predictive-modeling><labels>","0",""
"43401","1","2019-01-02 17:41:42","2","68","<feature-selection><svm>","0",""
"43402","2","2019-01-02 17:45:05","0","","","",""
"43403","2","2019-01-02 17:47:54","0","","","",""
"43404","1","2019-01-02 19:23:46","1","74","<feature-selection><random-forest><feature-engineering>","1",""
"43405","1","2019-01-02 20:13:27","1","138","<machine-learning><neural-network><training><optimization>","1",""
"43406","2","2019-01-02 20:35:09","2","","","",""
"43407","2","2019-01-02 22:46:29","0","","","",""
"43408","1","2019-01-02 23:15:37","0","42","<tensorflow><programming>","1",""
"43409","2","2019-01-02 23:26:21","0","","","",""
"43410","2","2019-01-03 00:40:41","-1","","","",""
"43413","1","2019-01-03 03:08:26","0","169","<deep-learning><nlp><embeddings><deep-network>","1",""
"43416","1","2019-01-03 07:04:56","1","676","<lstm><feature-scaling>","1",""
"43417","2","2019-01-03 07:54:16","2","","","",""
"43422","1","2019-01-03 10:06:09","0","56","<machine-learning><data><churn>","1","1"
"43423","1","2019-01-03 10:10:07","1","34","<machine-learning><predictive-modeling><accuracy>","1",""
"43425","1","2019-01-03 10:34:20","1","114","<python><pandas>","1",""
"43427","2","2019-01-03 10:49:28","4","","","",""
"43430","2","2019-01-03 11:41:05","0","","","",""
"43433","1","2019-01-03 15:16:26","0","80","<r><bigdata><data><data-cleaning>","1",""
"43434","2","2019-01-03 15:22:25","0","","","",""
"43436","1","2019-01-03 15:51:14","1","327","<machine-learning><python><multiclass-classification>","2",""
"43437","2","2019-01-03 16:28:07","1","","","",""
"43438","1","2019-01-03 16:32:26","2","91","<machine-learning><scikit-learn><predictive-modeling><overfitting>","0",""
